DE;EN;FR;SPECIES_CODE
Weidengelbkehlchen (chapalensis);Common Yellowthroat (chapalensis);Paruline masquée (chapalensis);comyel4
Wiesen- x Weidengelbkehlchen (Hybrid);Gray-crowned x Common Yellowthroat (hybrid);Hybride Paruline à calotte grise x P. masquée;x00748
Dickichtwaldsänger x Weidengelbkehlchen (Hybrid);MacGillivray's Warbler x Common Yellowthroat (hybrid);Hybride Paruline des buissons x P. masquée;x00700
Graukopf- x Weidengelbkehlchen (Hybrid);Mourning Warbler x Common Yellowthroat (hybrid);Hybride Paruline triste x P. masquée;x00749
Kentucky- x Weidengelbkehlchen (Hybrid);Kentucky Warbler x Common Yellowthroat (hybrid);Hybride Paruline du Kentucky x P. masquée;x01014
Berggelbkehlchen;Hooded Yellowthroat;Paruline de Nelson;hooyel1
Geothlypis (yellowthroat sp.), unbestimmt;yellowthroat sp.;Geothlypis sp. (yellowthroat sp.);yellow7
Pfeifwaldsänger;Whistling Warbler;Paruline de Saint-Vincent;whiwar1
Grauwaldsänger;Plumbeous Warbler;Paruline caféiette;pluwar1
Puerto-Rico-Waldsänger;Elfin-woods Warbler;Paruline d'Angela;elwwar1
Strichelwaldsänger;Arrowhead Warbler;Paruline de Jamaïque;arrwar1
Kapuzenwaldsänger;Hooded Warbler;Paruline à capuchon;hoowar
Rotschwanz-Waldsänger;American Redstart;Paruline flamboyante;amered
Michiganwaldsänger;Kirtland's Warbler;Paruline de Kirtland;kirwar
Tigerwaldsänger;Cape May Warbler;Paruline tigrée;camwar
Blauwaldsänger;Cerulean Warbler;Paruline azurée;cerwar
Blauflügel- x Blauwaldsänger (Hybrid);Blue-winged x Cerulean Warbler (hybrid);Hybride Paruline à ailes bleues x P. azurée;x00480
Meisenwaldsänger;Northern Parula;Paruline à collier;norpar
Rotschwanz- x Meisenwaldsänger (Hybrid);American Redstart x Northern Parula (hybrid);Hybride Paruline flamboyante x P. à collier;x00750
Blau- x Meisenwaldsänger (Hybrid);Cerulean Warbler x Northern Parula (hybrid);Hybride Paruline azurée x P. à collier;x00711
Elfenwaldsänger;Tropical Parula;Paruline à joues noires;tropar
Elfenwaldsänger (nigrilora);Tropical Parula (Northeast Mexico);Paruline à joues noires (nigrilora);tropar1
Elfenwaldsänger (pulchra);Tropical Parula (West Mexico);Paruline à joues noires (pulchra);tropar2
Elfenwaldsänger (insularis);Tropical Parula (Tres Marias Is.);Paruline à joues noires (insularis);tropar3
Elfenwaldsänger (Socorrowaldsänger);Tropical Parula (Socorro I.);Paruline à joues noires (graysoni);tropar4
Elfenwaldsänger (inornata);Tropical Parula (Middle American);Paruline à joues noires (inornata);tropar5
Elfenwaldsänger (cirrha);Tropical Parula (Coiba I.);Paruline à joues noires (cirrha);tropar7
Elfenwaldsänger [pitiayumi-Gruppe];Tropical Parula (South American);Paruline à joues noires (groupe pitiayumi);tropar9
Meisen- x Elfenwaldsänger (Hybrid);Northern x Tropical Parula (hybrid);Hybride Paruline à collier x P. à joues noires;x00203
Meisen-/Elfenwaldsänger;Northern/Tropical Parula;Paruline à collier ou P. à joues noires;y00827
Magnolienwaldsänger;Magnolia Warbler;Paruline à tête cendrée;magwar
Rubinfleck- x Magnolienwaldsänger (Hybrid);Nashville x Magnolia Warbler (hybrid);Hybride Paruline à joues grises x P. à tête cendrée;x00820
Rotschwanz- x Magnolienwaldsänger (Hybrid);American Redstart x Magnolia Warbler (hybrid);Hybride Paruline à tête cendrée x P. flamboyante;x01072
Tiger- x Magnolienwaldsänger (Hybrid);Cape May x Magnolia Warbler (hybrid);Hybride Paruline tigrée x P. à tête cendrée;x01073
Braunkehl-Waldsänger;Bay-breasted Warbler;Paruline à poitrine baie;babwar
Fichtenwaldsänger;Blackburnian Warbler;Paruline à gorge orangée;bkbwar
