DE;EN;FR;SPECIES_CODE
Weißbauch-Zwergtyrann;White-bellied Pygmy-Tyrant;Microtyran à ventre blanc;wbptyr1
Schwarzkappen-Zwergtyrann;Black-capped Pygmy-Tyrant;Microtyran à calotte noire;bcptyr1
Stummelschwanz-Zwergtyrann;Short-tailed Pygmy-Tyrant;Microtyran à queue courte;stptyr1
Rot-Schuppenkopftyrann;Scale-crested Pygmy-Tyrant;Microtyran chevelu;scptyr1
Grau-Schuppenkopftyrann;Double-banded Pygmy-Tyrant;Microtyran bifascié;dbptyr1
Weißbauch-Schuppenkopftyrann;Long-crested Pygmy-Tyrant;Microtyran eulophe;lcptyr1
Helm-Schuppenkopftyrann;Helmeted Pygmy-Tyrant;Microtyran casqué;heptyr1
Lophotriccus, unbestimmt;Lophotriccus sp.;Lophotriccus sp.;lophot1
Blassaugen-Zwergtyrann;Pale-eyed Pygmy-Tyrant;Microtyran coiffé;peptyr1
Graukehl-Krummschnabeltyrann;Northern Bentbill;Bec-en-arc cendré;norben1
Gelbkehl-Krummschnabeltyrann;Southern Bentbill;Bec-en-arc de Lawrence;souben1
Kleintodityrann;Snethlage's Tody-Tyrant;Todirostre de Snethlage;snttyr1
Kleintodityrann (pallens);Snethlage's Tody-Tyrant (Igapo);Todirostre de Snethlage (pallens);snetot1
Kleintodityrann (minor/snethlageae);Snethlage's Tody-Tyrant (E of Madeira);Todirostre de Snethlage (minor/snethlageae);snetot2
Snethlage's Tody-Tyrant (W of Madeira);Snethlage's Tody-Tyrant (W of Madeira);Todirostre de Snethlage (forme non décrite à l'ouest du Madeira);snetot5
Yungastodityrann;Yungas Tody-Tyrant;Todirostre de Bolivie;yuttyr1
Acretodityrann;Acre Tody-Tyrant;Todirostre de Cohn-Haft;acrtot1
Streifenbrust-Todityrann;Flammulated Pygmy-Tyrant;Todirostre flammulé;flapyt1
Weißstern-Todityrann;Drab-breasted Pygmy-Tyrant;Todirostre à poitrine ombrée;drbpyt1
Braunbrust-Todityrann;Brown-breasted Pygmy-Tyrant;Todirostre à poitrine brune;bnbpyt1
Grauwangen-Todityrann;Boat-billed Tody-Tyrant;Todirostre de Josephine;bbttyr1
Weißaugen-Todityrann;White-eyed Tody-Tyrant;Todirostre zostérops;wettyr1
Weißaugen-Todityrann (zosterops/flaviviridis);White-eyed Tody-Tyrant (White-eyed);Todirostre zostérops (zosterops/flaviviridis);whetot4
White-eyed Tody-Tyrant (Guianan);White-eyed Tody-Tyrant (Guianan);Todirostre zostérops (forme non décrite de Guyanne);whetot3
Weißbauch-Todityrann;White-bellied Tody-Tyrant;Todirostre à ventre blanc;whbtot1
Weißbauch-Todityrann (griseipectus);White-bellied Tody-Tyrant (White-bellied);Todirostre à ventre blanc (griseipectus);whbtot2
Weißbauch-Todityrann (naumburgae);White-bellied Tody-Tyrant (Pernambuco);Todirostre à ventre blanc (naumburgae);whbtot3
Augenring-Todityrann;Eye-ringed Tody-Tyrant;Todirostre à lunettes;erttyr1
Braunzügel-Todityrann;Johannes's Tody-Tyrant;Todirostre de Joao;jottyr1
Streifenkehl-Todityrann;Stripe-necked Tody-Tyrant;Todirostre à cou rayé;snttyr2
Grünrücken-Todityrann;Hangnest Tody-Tyrant;Todirostre de Wied;hattyr1
Perlbauch-Todityrann;Pearly-vented Tody-Tyrant;Todirostre à ventre perle;pvttyr1
Pelzelntodityrann;Pelzeln's Tody-Tyrant;Todirostre de Pelzeln;pettyr1
Zwergtodityrann;Zimmer's Tody-Tyrant;Todirostre de Zimmer;zittyr1
Schwarzkehl-Todityrann;Black-throated Tody-Tyrant;Todirostre à gorge noire;btttyr1
Zimtbrust-Todityrann;Cinnamon-breasted Tody-Tyrant;Todirostre du Pérou;cbttyr1
Ockerbauch-Todityrann;Buff-breasted Tody-Tyrant;Todirostre de Miranda;bbttyr2
Ockerbrust-Todityrann;Kaempfer's Tody-Tyrant;Todirostre de Kaempfer;kattyr1
Graukappen-Todityrann;Buff-throated Tody-Tyrant;Todirostre à gorge fauve;btttyr2
Gabelschwanz-Todityrann;Fork-tailed Pygmy-Tyrant;Todirostre à queue fourchue;fotpyt1
Hemitriccus, unbestimmt;Hemitriccus sp.;Hemitriccus sp.;hemitr1
Rostkappen-Todityrann;Rufous-crowned Tody-Flycatcher;Todirostre bariolé;rcttyr1
Lulutodityrann;Johnson's Tody-Flycatcher;Todirostre de Lulu;johtot1
Weißwangen-Todityrann;White-cheeked Tody-Flycatcher;Todirostre à face blanche;wcttyr1
Schwarzweiß-Todityrann;Black-and-white Tody-Flycatcher;Todirostre noir et blanc;bawtyr1
Ockerwangen-Todityrann;Buff-cheeked Tody-Flycatcher;Todirostre à joues rousses;buctof1
Rostgesicht-Todityrann;Ruddy Tody-Flycatcher;Todirostre roussâtre;rudtof1
Ockergesicht-Todityrann;Ochre-faced Tody-Flycatcher;Todirostre gorgeret;ocftof1
Graustirn-Todityrann;Smoky-fronted Tody-Flycatcher;Todirostre à front gris;smftof1
Rostzügel-Todityrann;Rusty-fronted Tody-Flycatcher;Todirostre à front roux;ruftof1
Graukopf-Todityrann;Slate-headed Tody-Flycatcher;Todirostre de Desmarest;shtfly1
Goldflügel-Todityrann;Golden-winged Tody-Flycatcher;Todirostre à ailes d'or;gowtof1
Weißzügel-Todityrann;Black-backed Tody-Flycatcher;Todirostre à dos noir;bkbtof1
Poecilotriccus, unbestimmt;Poecilotriccus sp.;Poecilotriccus sp.;poecil1
Schwarzschopf-Todityrann;Black-chested Tyrant;Tyranneau d'André;blctyr2
Fleckenbrust-Todityrann;Spotted Tody-Flycatcher;Todirostre tacheté;sptfly1
Gelbzügel-Todityrann;Gray-headed Tody-Flycatcher;Todirostre à tête grise;gyhtof1
Graugelb-Todityrann;Common Tody-Flycatcher;Todirostre familier;cotfly1
Graugelb-Todityrann [cinereum-Gruppe];Common Tody-Flycatcher (cinereum Group);Todirostre familier (groupe cinereum);comtof1
Graugelb-Todityrann (sclateri);Common Tody-Flycatcher (sclateri);Todirostre familier (sclateri);comtof2
Kurzschwanz-Todityrann;Maracaibo Tody-Flycatcher;Todirostre du Maracaïbo;matfly1
Schwarzkopf-Todityrann;Black-headed Tody-Flycatcher;Todirostre à tête noire;bhtfly1
Schwarzflecken-Todityrann;Painted Tody-Flycatcher;Todirostre peint;patfly1
Goldbrauen-Todityrann;Yellow-browed Tody-Flycatcher;Todirostre bridé;ybtfly1
Todirostrum, unbestimmt;Todirostrum sp.;Todirostrum sp.;todiro1
Drehschwingentyrann;Brownish Twistwing;Tyranneau brun;brofly1
Rötel-Drehschwingentyrann;Rufous Twistwing;Tyranneau roux;ruftwi1
Augenring-Breitschnabeltyrann;Eye-ringed Flatbill;Tyranneau à bec court;eyrfla1
Westamazonien-Breitschnabeltyrann;Western Olivaceous Flatbill;Tyranneau du Napo;olifla2
Westamazonien-Breitschnabeltyrann [aequinoctialis-Gruppe];Western Olivaceous Flatbill (Western);Tyranneau du Napo (groupe aequinoctialis);weofla2
Westamazonien-Breitschnabeltyrann (cryptus);Western Olivaceous Flatbill (Cryptic);Tyranneau du Napo (cryptus);weofla1
Amazonien-Breitschnabeltyrann;Eastern Olivaceous Flatbill;Tyranneau olivâtre;olifla3
Amazonien-Breitschnabeltyrann (guianensis/sordidus);Eastern Olivaceous Flatbill (Guianan);Tyranneau olivâtre (guianensis/sordidus);eaofla1
Amazonien-Breitschnabeltyrann (olivaceus);Eastern Olivaceous Flatbill (Olivaceous);Tyranneau olivâtre (olivaceus);olifla12
Westamazonien-/Amazonien-Breitschnabeltyrann;Western/Eastern Olivaceous Flatbill;Tyranneau du Napo ou T. olivâtre;olifla1
Pazifik-Breitschnabeltyrann;Pacific Flatbill;Tyranneau de Colombie;pacfla1
Ockerbrust-Breitschnabeltyrann;Fulvous-breasted Flatbill;Tyranneau à poitrine fauve;fubfla1
Rhynchocyclus, unbestimmt;Rhynchocyclus sp.;Rhynchocyclus sp.;flatbi1
Olivscheitel-Breitschnabeltyrann;Yellow-olive Flatbill;Tyranneau jaune-olive;yeofly1
Olivscheitel-Breitschnabeltyrann (cinereiceps);Yellow-olive Flatbill (Gray-headed);Tyranneau jaune-olive (cinereiceps);yeofly6
Olivscheitel-Breitschnabeltyrann (flavoolivaceus);Yellow-olive Flatbill (Yellow-olive);Tyranneau jaune-olive (flavoolivaceus);yeofly7
Olivscheitel-Breitschnabeltyrann (asemus);Yellow-olive Flatbill (asemus);Tyranneau jaune-olive (asemus);yeofly8
Olivscheitel-Breitschnabeltyrann (confusus);Yellow-olive Flatbill (confusus);Tyranneau jaune-olive (confusus);yeofly9
Olivscheitel-Breitschnabeltyrann (exortivus);Yellow-olive Flatbill (exortivus);Tyranneau jaune-olive (exortivus);yeofly10
Olivscheitel-Breitschnabeltyrann (berlepschi);Yellow-olive Flatbill (Trinidad);Tyranneau jaune-olive (berlepschi);yeofly11
Olivscheitel-Breitschnabeltyrann (cherriei/duidae);Yellow-olive Flatbill (Guianan);Tyranneau jaune-olive (cherriei/duidae);yeofly12
Olivscheitel-Breitschnabeltyrann (aequatorialis);Yellow-olive Flatbill (Equatorial);Tyranneau jaune-olive (aequatorialis);yeofly2
Olivscheitel-Breitschnabeltyrann (peruvianus);Yellow-olive Flatbill (Andes);Tyranneau jaune-olive (peruvianus);yeofly4
Olivscheitel-Breitschnabeltyrann (insignis);Yellow-olive Flatbill (Riverine);Tyranneau jaune-olive (insignis);yeofly3
Olivscheitel-Breitschnabeltyrann (mixtus);Yellow-olive Flatbill (Para);Tyranneau jaune-olive (mixtus);yeofly13
Olivscheitel-Breitschnabeltyrann (inornatus);Yellow-olive Flatbill (inornatus);Tyranneau jaune-olive (inornatus);yeofly14
Olivscheitel-Breitschnabeltyrann (pallescens);Yellow-olive Flatbill (Mato Grosso);Tyranneau jaune-olive (pallescens);yeofly5
Olivscheitel-Breitschnabeltyrann (grisescens);Yellow-olive Flatbill (grisescens);Tyranneau jaune-olive (grisescens);yeofly15
Olivscheitel-Breitschnabeltyrann (sulphurescens);Yellow-olive Flatbill (Sooretama);Tyranneau jaune-olive (sulphurescens);yeofly16
Orangeaugen-Breitschnabeltyrann;Orange-eyed Flatbill;Tyranneau de Traylor;orefly1
Gelbschwingen-Breitschnabeltyrann;Yellow-winged Flatbill;Tyranneau à ailes jaunes;yemfly2
Flügelspiegel-Breitschnabeltyrann;Yellow-margined Flatbill;Tyranneau à miroir;yemfly1
Flügelspiegel-Breitschnabeltyrann (neglectus);Yellow-margined Flatbill (neglectus);Tyranneau à miroir (neglectus);yemfly4
Flügelspiegel-Breitschnabeltyrann (examinatus);Yellow-margined Flatbill (examinatus);Tyranneau à miroir (examinatus);yemfly5
Flügelspiegel-Breitschnabeltyrann (obscuriceps);Yellow-margined Flatbill (obscuriceps);Tyranneau à miroir (obscuriceps);yemfly6
Flügelspiegel-Breitschnabeltyrann [assimilis-Gruppe];Yellow-margined Flatbill (assimilis Group);Tyranneau à miroir (groupe assimilis);yemfly7
Flügelspiegel-Breitschnabeltyrann (sucunduri);Yellow-margined Flatbill (Sucunduri);Tyranneau à miroir (sucunduri);sucfly1
Flügelspiegel-Breitschnabeltyrann (paraensis);Yellow-margined Flatbill (paraensis);Tyranneau à miroir (paraensis);yemfly8
Grauscheitel-Breitschnabeltyrann;Gray-crowned Flatbill;Tyranneau poliocéphale;gycfly1
Grünkopf-Breitschnabeltyrann;Olive-faced Flatbill;Tyranneau à face olive;yebfly4
Gelbbauch-Breitschnabeltyrann;Ochre-lored Flatbill;Tyranneau à poitrine jaune;yebfly3
Grünkopf-/Gelbbauch-Breitschnabeltyrann;Olive-faced/Ochre-lored Flatbill;Tyranneau à face olive ou T. à poitrine jaune;yebfly1
Tolmomyias, unbestimmt;Tolmomyias sp.;Tolmomyias sp.;tolmom1
Zimttyrann;Cinnamon Flycatcher;Moucherolle cannelle;cinfly2
Zimttyrann (assimilis);Cinnamon Flycatcher (Santa Marta);Moucherolle cannelle (assimilis);cinfly3
Zimttyrann [vieillotioides-Gruppe];Cinnamon Flycatcher (Venezuelan);Moucherolle cannelle (groupe vieillotioides);cinfly4
Zimttyrann (cinnamomeus/pyrrhopterus);Cinnamon Flycatcher (Andean);Moucherolle cannelle (cinnamomeus/pyrrhopterus);cinfly1
Schwalbentyrann;Cliff Flycatcher;Moucherolle hirondelle;clifly1
Schwalbentyrann (ferruginea/sclateri);Cliff Flycatcher (Cliff);Moucherolle hirondelle (ferruginea/sclateri);clifly2
Schwalbentyrann (bellicosa/pallidior);Cliff Flycatcher (Swallow);Moucherolle hirondelle (bellicosa/pallidior);clifly3
Schmucktyrann;Ornate Flycatcher;Moucherolle orné;ornfly1
Schmucktyrann (ornatus/stellatus);Ornate Flycatcher (Western);Moucherolle orné (ornatus/stellatus);ornfly2
Schmucktyrann (phoenicurus/aureiventris);Ornate Flycatcher (Eastern);Moucherolle orné (phoenicurus/aureiventris);ornfly3
Graukronen-Schnäppertyrann;Handsome Flycatcher;Moucherolle superbe;hanfly1
Orangeband-Schnäppertyrann;Orange-banded Flycatcher;Moucherolle de Linton;orbfly1
Ockerhals-Schnäppertyrann;Ochraceous-breasted Flycatcher;Moucherolle à poitrine ocre;ocbfly2
Gelbbauch-Kleintyrann;Yellow-bellied Tyrannulet;Tyranneau à ventre jaune;yebtyr1
Braunkappen-Kleintyrann;Brown-capped Tyrannulet;Tyranneau à tête brune;brctyr
Weißzügel-Kleintyrann;White-lored Tyrannulet;Tyranneau minute;whltyr1
Blasskleintyrann;Northern Beardless-Tyrannulet;Tyranneau imberbe;nobtyr
Blasskleintyrann (imberbe);Northern Beardless-Tyrannulet (Northern);Tyranneau imberbe (imberbe);norbet1
Blasskleintyrann (thyellophilum);Northern Beardless-Tyrannulet (Yucatan);Tyranneau imberbe (thyellophilum);norbet2
Haubenkleintyrann;Southern Beardless-Tyrannulet;Tyranneau passegris;sobtyr1
Haubenkleintyrann [flaviventre-Gruppe];Southern Beardless-Tyrannulet (Central American);Tyranneau passegris (groupe flaviventre);soubet1
Haubenkleintyrann (caucae);Southern Beardless-Tyrannulet (Colombian);Tyranneau passegris (caucae);soubet6
Haubenkleintyrann (pusillum);Southern Beardless-Tyrannulet (Caribbean);Tyranneau passegris (pusillum);soubet7
Haubenkleintyrann (napaeum/olivaceum);Southern Beardless-Tyrannulet (Amazonian);Tyranneau passegris (napaeum/olivaceum);soubet16
Haubenkleintyrann [sclateri-Gruppe];Southern Beardless-Tyrannulet (Peruvian);Tyranneau passegris (groupe sclateri);soubet17
Haubenkleintyrann [obsoletum-Gruppe];Southern Beardless-Tyrannulet (Southern);Tyranneau passegris (groupe obsoletum);soubet2
Grauscheitel-Olivtyrann;Suiriri Flycatcher;Tyranneau suiriri;suifly1
Weißschwanz-Tachurityrann;White-tailed Tyrannulet;Tyranneau à queue blanche;whttyr1
Fahlbinden-Tachurityrann;Buff-banded Tyrannulet;Tyranneau de Hellmayr;bubtyr1
Weißbinden-Tachurityrann;White-banded Tyrannulet;Tyranneau à sourcils blancs;whbtyr1
Weißkehl-Tachurityrann;White-throated Tyrannulet;Tyranneau à gorge blanche;whttyr2
Rotschwingen-Tachurityrann;Rufous-winged Tyrannulet;Tyranneau à ailes rousses;ruwtyr1
Gelbbauch-Tachurityrann;Sulphur-bellied Tyrannulet;Tyranneau soufré;subtyr1
Schwarzhauben-Tachurityrann;Black-crested Tit-Tyrant;Taurillon à cimier noir;bkctit1
Streifenbauch-Tachurityrann;Pied-crested Tit-Tyrant;Taurillon roitelet;pcttyr1
Graubrust-Tachurityrann;Ash-breasted Tit-Tyrant;Taurillon gris;abttyr1
Cocuy Tit-Tyrant (undescribed form);Cocuy Tit-Tyrant (undescribed form);Taurillon sp. (de Cocuy, forme non décrite);coctit1
Gelbschnabel-Tachurityrann;Yellow-billed Tit-Tyrant;Taurillon à bec jaune;ybttyr1
Meisentachurityrann;Tufted Tit-Tyrant;Taurillon mésange;tuttyr1
Juan-Fernández-Tachurityrann;Juan Fernandez Tit-Tyrant;Taurillon de Juan Fernandez;jfttyr1
Anairetes, unbestimmt;Anairetes sp.;Anairetes sp.;anaire1
Brauentachurityrann;Agile Tit-Tyrant;Taurillon agile;agitit1
Weißbauch-Tachurityrann;Unstreaked Tit-Tyrant;Taurillon uni;unstit1
Tumbeskleintyrann;Tumbesian Tyrannulet;Tyranneau de Tumbes;moctyr6
Marañon Tyrannulet;Marañon Tyrannulet;Tyranneau du Maranon;moctyr4
Tumbeskleintyrann/Marañon Tyrannulet;Tumbesian/Marañon Tyrannulet;Tyranneau de Tumbes ou T. du Maranon;y01203
Kokosinseltyrann;Cocos Tyrannulet;Tyranneau de Cocos;cocfly1
Graubraun-Kleintyrann;Mouse-colored Tyrannulet;Tyranneau souris;y01204
Graubraun-Kleintyrann (incomtus/eremonomus);Mouse-colored Tyrannulet (Northern);Tyranneau souris (incomtus/eremonomus);moctyr7
Graubraun-Kleintyrann (murinus/wagae);Mouse-colored Tyrannulet (Southern);Tyranneau souris (murinus/wagae);moctyr3
Nesotriccus, unbestimmt;Nesotriccus sp.;Nesotriccus sp.;moctyr1
Zitronentyrann;Yellow Tyrannulet;Tyranneau flavéole;yeltyr1
Streifenkinn-Grastyrann;Bearded Tachuri;Tyranneau barbu;beatac1
Graunacken-Grastyrann;Gray-backed Tachuri;Tyranneau bridé;gybtac1
Spitzschwanz-Grastyrann;Sharp-tailed Tyrant;Tyranneau à queue aiguë;shttyr1
Schopfsumpftyrann;Crested Doradito;Doradite de Sclater;credor1
Andensumpftyrann;Subtropical Doradito;Doradite à ailes pointues;subdor1
Dinellisumpftyrann;Dinelli's Doradito;Doradite de Dinelli;dindor2
Braunrücken-Sumpftyrann;Warbling Doradito;Doradite babillarde;wardor1
Tickersumpftyrann;Ticking Doradito;Doradite de Landbeck;ticdor1
Braunrücken-/Tickersumpftyrann;Warbling/Ticking Doradito;Doradite babillarde ou D. de Landbeck;y00660
Sumpftyrann, unbestimmt;doradito sp.;doradite sp.;doradi1
Gelbscheitel-Olivtyrann;Yellow-crowned Tyrannulet;Tyranneau roitelet;yectyr1
Weißscheitel-Olivtyrann;Forest Elaenia;Élénie de Gaimard;forela1
Chocóolivtyrann;Choco Elaenia;Élénie du Choco;gryela1
Graurücken-Olivtyrann;Amazonian Elaenia;Élénie grise;gryela2
Vorgebirgs-Olivtyrann;Foothill Elaenia;Élénie d'avant-monts;fooela1
Vorgebirgs-Olivtyrann (coopmansi);Foothill Elaenia (Antioquia);Élénie d'avant-monts (coopmansi);fooela3
Vorgebirgs-Olivtyrann (incognita);Foothill Elaenia (Perija);Élénie d'avant-monts (incognita);fooela2
Vorgebirgs-Olivtyrann (olallai);Foothill Elaenia (Foothill);Élénie d'avant-monts (olallai);fooela4
Grauolivtyrann;Gray-headed Elaenia;Élénie à tête grise;gryela3
Weißbrauen-Olivtyrann;Pacific Elaenia;Élénie striée;pacela1
Goldscheitel-Olivtyrann;Yellow-crowned Elaenia;Élénie à couronne d'or;yecela1
Weißkehl-Olivtyrann;Jamaican Elaenia;Élénie de Jamaïque;jamela1
Grünolivtyrann;Greenish Elaenia;Élénie verdâtre;greela
Grünolivtyrann (minima/jaliscensis);Greenish Elaenia (West Mexico);Élénie verdâtre (minima/jaliscensis);greela2
Grünolivtyrann [viridicata-Gruppe];Greenish Elaenia (Greenish);Élénie verdâtre (groupe viridicata);greela3
Myiopagis, unbestimmt;elaenia sp. (genus Myiopagis);Myiopagis sp.;myiopa1
Braunscheitel-Olivtyrann;Plain-crested Elaenia;Élénie huppée;plcela1
Rostnacken-Olivtyrann;Rufous-crowned Elaenia;Élénie tête-de-feu;rucela1
Schieferolivtyrann;Slaty Elaenia;Élénie bruyante;slaela1
Schuppenolivtyrann;Mottle-backed Elaenia;Élénie écaillée;mobela1
Paranáolivtyrann;Small-headed Elaenia;Élénie sordide;higela3
Riesenolivtyrann;Great Elaenia;Élénie de Day;greela1
Hochland-Olivtyrann;Highland Elaenia;Élénie obscure;higela2
Gelbbauch-Olivtyrann;Yellow-bellied Elaenia;Élénie à ventre jaune;yebela1
Dreibinden-Olivtyrann;Small-billed Elaenia;Élénie à bec court;smbela1
Braunolivtyrann;Brownish Elaenia;Élénie brune;broela1
Graubrust-Olivtyrann;Large Elaenia;Élénie remarquable;larela1
Noronha-Olivtyrann;Noronha Elaenia;Élénie de Noronha;norela1
Schlichtolivtyrann;Olivaceous Elaenia;Élénie olivâtre;oliela1
Grauwangen-Olivtyrann;Lesser Elaenia;Élénie menue;lesela1
Braunrücken-Olivtyrann;Coopmans's Elaenia;Élénie de Berlepsch;cooela1
Weißkronen-Olivtyrann;White-crested Elaenia;Élénie à cimier blanc;whcela1
Weißkronen-Olivtyrann [albiceps-Gruppe];White-crested Elaenia (White-crested);Élénie à cimier blanc (groupe albiceps);whcela2
Weißkronen-Olivtyrann (Weißbauch-Olivtyrann);White-crested Elaenia (Chilean);Élénie à cimier blanc (chilensis);whcela4
Weißkronen-Olivtyrann (modesta);White-crested Elaenia (Peruvian);Élénie à cimier blanc (modesta);whcela3
Dreibinden-/Weißkronen-Olivtyrann;Small-billed/White-crested Elaenia;Élénie à bec court ou É. à cimier blanc;y00739
Sierraolivtyrann;Sierran Elaenia;Élénie de Pallantanga;sieela3
Nordanden-Olivtyrann;Mountain Elaenia;Élénie montagnarde;mouela1
Tepuiolivtyrann;Tepui Elaenia;Élénie des tépuis;sieela2
Weißkinn-Olivtyrann;Caribbean Elaenia;Élénie siffleuse;carela1
Weißkinn-Olivtyrann [martinica-Gruppe];Caribbean Elaenia (Caribbean);Élénie siffleuse (groupe martinica);carela2
Weißkinn-Olivtyrann [cinerascens-Gruppe];Caribbean Elaenia (Chinchorro);Élénie siffleuse (groupe cinerascens);carela3
Jamaikaolivtyrann;Blue Mountain Elaenia;Élénie sara;graela3
Hispaniolan Elaenia;Hispaniolan Elaenia;Élénie d'Hispaniola;graela4
Elaenia, unbestimmt;elaenia sp. (genus Elaenia);Elaenia sp.;elaeni1
Sturzbach-Kleintyrann;Torrent Tyrannulet;Tyranneau des torrents;tortyr1
Uferkleintyrann;River Tyrannulet;Tyranneau des rivières;rivtyr1
Rußkleintyrann;Sooty Tyrannulet;Tyranneau noirâtre;sootyr1
Weißscheitel-Kleintyrann;White-crested Tyrannulet;Tyranneau à toupet;y01036
Weißscheitel-Kleintyrann (subcristata/straminea);White-crested Tyrannulet (Sulphur-bellied);Tyranneau à toupet (subcristata/straminea);whctyr1
Weißscheitel-Kleintyrann (Weißbauch-Kleintyrann);White-crested Tyrannulet (White-bellied);Tyranneau à toupet (munda);whbtyr2
Grauscheitel-Kleintyrann;Straneck's Tyrannulet;Tyranneau de Straneck;gyctyr2
Weißscheitel-/Grauscheitel-Kleintyrann;White-crested/Straneck's Tyrannulet;Tyranneau à toupet ou T. de Straneck;y00884
Serpophaga, unbestimmt;Serpophaga sp.;Serpophaga sp.;serpop1
Grünrücken-Kleintyrann;Greenish Tyrannulet;Tyranneau verdin;gretyr1
Reiserkleintyrann;Reiser's Tyrannulet;Tyranneau de Reiser;reityr1
Urichkleintyrann;Urich's Tyrannulet;Tyranneau d'Urich;urityr1
Graubrust-Kleintyrann;Sclater's Tyrannulet;Tyranneau de Sclater;scltyr1
Planaltokleintyrann;Planalto Tyrannulet;Tyranneau fascié;platyr2
Yungaskleintyrann;Yungas Tyrannulet;Tyranneau de Weeden;yuntyr1
Rußkappen-Kleintyrann;Sooty-headed Tyrannulet;Tyranneau nain;sohtyr1
Rußkappen-Kleintyrann (griseiceps);Sooty-headed Tyrannulet (griseiceps);Tyranneau nain (griseiceps);sohtyr2
Rußkappen-Kleintyrann (cristatus);Sooty-headed Tyrannulet (cristatus);Tyranneau nain (cristatus);sohtyr3
Rußkappen-Kleintyrann (caucae);Sooty-headed Tyrannulet (caucae);Tyranneau nain (caucae);sohtyr4
Rußkappen-Kleintyrann (pallidiceps);Sooty-headed Tyrannulet (pallidiceps);Tyranneau nain (pallidiceps);sohtyr5
Graukronen-Kleintyrann;Plumbeous-crowned Tyrannulet;Tyranneau plombé;plctyr1
Graukappen-Kleintyrann;Gray-capped Tyrannulet;Tyranneau à tête grise;gyctyr1
Phyllomyias, unbestimmt;Phyllomyias sp.;Phyllomyias sp.;phyllo3
Weißstirn-Kleintyrann;White-fronted Tyrannulet;Tyranneau de Zeledon;roltyr1
Weißstirn-Kleintyrann (zeledoni);White-fronted Tyrannulet (Zeledon's);Tyranneau de Zeledon (zeledoni);roltyr2
Weißstirn-Kleintyrann [leucogonys-Gruppe];White-fronted Tyrannulet (White-fronted);Tyranneau de Zeledon (groupe leucogonys);roltyr4
Burmeisterkleintyrann;Rough-legged Tyrannulet;Tyranneau pattu;roltyr3
Schwarzkappen-Kleintyrann;Black-capped Tyrannulet;Tyranneau à tête noire;blctyr1
Ohrfleck-Kleintyrann;Ashy-headed Tyrannulet;Tyranneau à tête cendrée;ashtyr1
Zimtbürzel-Kleintyrann;Tawny-rumped Tyrannulet;Tyranneau à croupion fauve;tartyr1
Purpurschnabel-Kleintyrann;Red-billed Tyrannulet;Tyranneau à bec rouge;rebtyr2
Mishana-Kleintyrann;Mishana Tyrannulet;Tyranneau de Villarejo;mistyr1
Grünkleintyrann;Chico's Tyrannulet;Tyranneau de Mendes;chityr1
Guayanakleintyrann;Guianan Tyrannulet;Tyranneau vif;guityr1
Weißstreif-Kleintyrann;Guatemalan Tyrannulet;Tyranneau gobemoucheron;paltyr2
Hellbauch-Kleintyrann;Mistletoe Tyrannulet;Tyranneau menu;paltyr3
Weißstreif-/Hellbauch-Kleintyrann;Guatemalan/Mistletoe Tyrannulet;Tyranneau gobemoucheron ou T. menu;y01089
Chocókleintyrann;Choco Tyrannulet;Tyranneau du Choco;chotyr1
Küstenkordilleren-Kleintyrann;Spectacled Tyrannulet;Tyranneau trompeur;paltyr4
Goldgesicht-Kleintyrann;Golden-faced Tyrannulet;Tyranneau à face d'or;goftyr1
Goldgesicht-Kleintyrann (minimus/cumanensis);Golden-faced Tyrannulet (Coopmans's);Tyranneau à face d'or (minimus/cumanensis);goftyr5
Goldgesicht-Kleintyrann (chrysops);Golden-faced Tyrannulet (Golden-faced);Tyranneau à face d'or (chrysops);goftyr3
Gelbstreif-Kleintyrann;Peruvian Tyrannulet;Tyranneau à face jaune;pertyr1
Gelbstreif-Kleintyrann (flavidifrons);Peruvian Tyrannulet (Loja);Tyranneau à face jaune (flavidifrons);goftyr4
Gelbstreif-Kleintyrann (viridiflavus);Peruvian Tyrannulet (Peruvian);Tyranneau à face jaune (viridiflavus);pertyr2
Gelbstreif-Kleintyrann [unbeschriebene Form];Peruvian Tyrannulet (Amazonas);Tyranneau à face jaune (forme non décrite d'Amazonas);goftyr2
Olivkleintyrann;Bolivian Tyrannulet;Tyranneau de Bolivie;boltyr1
Mirandakleintyrann;Venezuelan Tyrannulet;Tyranneau de Peters;paltyr5
Schlankfuß-Kleintyrann;Slender-footed Tyrannulet;Tyranneau à petits pieds;slftyr1
Zimmerius, unbestimmt;Zimmerius sp.;Zimmerius sp.;zimmer1
Ockerstirn-Zwergtyrann;Fulvous-faced Scrub-Tyrant;Tyranneau à front fauve;tacpyt2
Graubrust-Zwergtyrann;Fulvous-crowned Scrub-Tyrant;Tyranneau à calotte fauve;tacpyt1
Weißkehl-Zwergtyrann;Rufous-sided Scrub-Tyrant;Tyranneau à flancs roux;rsptyr1
Weißkronentyrann;Gray-and-white Tyrannulet;Tyranneau gris et blanc;gawtyr2
Nordstelzentyrann;Lesser Wagtail-Tyrant;Calandrite du Napo;lewtyr1
Bahiastelzentyrann;Bahia Wagtail-Tyrant;Calandrite du Bahia;leswat2
